dropout,batch_size,no_nodes,look_back,theta,acc,auc,return
0.0,8.0,70.0,18.0,0.0,0.9436008676789588,0.9816641807556152,42.34716526477524
0.0,8.0,70.0,18.0,0.1,0.9436008676789588,0.9816641807556152,41.52841031615324
0.0,8.0,70.0,18.0,0.2,0.9436008676789588,0.9816641807556152,41.6519300187815
0.0,8.0,70.0,24.0,0.0,0.940152339499456,0.9811763763427734,40.884256046346394
0.0,8.0,70.0,24.0,0.1,0.940152339499456,0.9811763763427734,41.371773301048776
0.0,8.0,70.0,24.0,0.2,0.940152339499456,0.9811763763427734,40.96448531356028
0.0,8.0,90.0,1.0,0.0,0.6856528747984955,0.8358482122421265,9.31342746712389
0.0,8.0,90.0,1.0,0.1,0.6856528747984955,0.8358482122421265,7.39760394657357
0.0,8.0,90.0,1.0,0.2,0.6856528747984955,0.8358482122421265,6.22507299708409
0.0,8.0,90.0,3.0,0.0,0.9289940828402368,0.97737854719162,40.1648422300793
0.0,8.0,90.0,3.0,0.1,0.9289940828402368,0.97737854719162,39.55353049401171
0.0,8.0,90.0,3.0,0.2,0.9289940828402368,0.97737854719162,38.47558553540424
0.0,8.0,90.0,6.0,0.0,0.933728448275862,0.9795088768005372,41.69613792275019
0.0,8.0,90.0,6.0,0.1,0.933728448275862,0.9795088768005372,41.200986898127866
0.0,8.0,90.0,6.0,0.2,0.933728448275862,0.9795088768005372,40.00690510703129
0.0,8.0,90.0,9.0,0.0,0.9471127900701564,0.9815011620521544,42.33862500968284
0.0,8.0,90.0,9.0,0.1,0.9471127900701564,0.9815011620521544,41.884172878192466
0.0,8.0,90.0,9.0,0.2,0.9471127900701564,0.9815011620521544,41.54833958718911
0.0,8.0,90.0,12.0,0.0,0.948108108108108,0.9820083379745485,44.110744184716864
0.0,8.0,90.0,12.0,0.1,0.948108108108108,0.9820083379745485,43.917505751616595
0.0,8.0,90.0,12.0,0.2,0.948108108108108,0.9820083379745485,42.75291312512967
0.0,8.0,90.0,18.0,0.0,0.940347071583514,0.981755793094635,42.73437966583751
0.0,8.0,90.0,18.0,0.1,0.940347071583514,0.981755793094635,42.754879675660966
0.0,8.0,90.0,18.0,0.2,0.940347071583514,0.981755793094635,42.13127866598094
0.0,8.0,90.0,24.0,0.0,0.9445048966267682,0.9818921685218812,43.085688368765105
0.0,8.0,90.0,24.0,0.1,0.9445048966267682,0.9818921685218812,42.52974907816957
0.0,8.0,90.0,24.0,0.2,0.9445048966267682,0.9818921685218812,42.07025727226921
